업체(시설)명,지도점검일자,점검사항,지도점검구분,소재지주소
청와대 제 101 경비단,20171130,폐수배출시설 및 방지시설 정상가동 여부,정기,서울특별시 종로구 궁정동 8-1번지 
혜화카프라자,20171130,폐수배출시설 및 방지시설 정상가동 여부,정기,서울특별시 종로구 명륜1가 32-2번지 
혜화카프라자,20171123,폐수배출시설 및 방지시설 정상가동 여부,정기,서울특별시 종로구 명륜1가 32-2번지 
삼성세차장,20171123,폐수배출시설 및 방지시설 정상가동 여부,정기,서울특별시 종로구 효자동 60-1번지 
세란병원 종합검진센터,20171123,폐수배출시설 및 방지시설 정상가동 여부,정기,서울특별시 종로구 무악동 66-3번지 
세란병원,20171123,폐수배출시설 및 방지시설 정상가동 여부,정기,서울특별시 종로구 무악동 32-2번지 
(주)지에스이앤알 평창주유소,20171123,폐수배출시설 및 방지시설 정상가동 여부,정기,서울특별시 종로구 평창동 80-1번지 
상명대학교,20171123,폐수배출시설 및 방지시설 정상가동 여부,정기,서울특별시 종로구 홍지동 7번지 상명대학교 
국군서울지구병원,20171116,폐수배출시설 및 방지시설 정상가동 여부,정기,서울특별시 종로구 삼청동 25-1번지 
서울적십자 병원,20171116,폐수배출시설 및 방지시설 정상가동 여부,정기,서울특별시 종로구 평동 164번지 
서울대학교 병원,20171108,폐수배출시설 및 방지시설 정상가동 여부,정기,서울특별시 종로구 연건동 28번지 
서울대학교 의과대학,20171108,폐수배출시설 및 방지시설 정상가동 여부,정기,서울특별시 종로구 연건동 28번지 
서울대학교병원 암센터,20171108,폐수배출시설 및 방지시설 정상가동 여부,정기,서울특별시 종로구 연건동 28-21번지 
월드염색,20171102,폐수배출시설 및 방지시설 정상가동 여부,정기,서울특별시 종로구 종로6가 239-29번지 
정원염색,20171102,폐수배출시설 및 방지시설 정상가동 여부,정기,서울특별시 종로구 종로6가 32-5번지 1층 
종로염색,20171102,폐수배출시설 및 방지시설 정상가동 여부,정기,서울특별시 종로구 효제동 197-1번지 
경희대학교 지구환경연구소,20171025,발생폐수 적정보관 및 위탁여부,정기,서울특별시 종로구 권농동 115-3번지 
깨끗한도금,20171025,발생폐수 적정보관 및 위탁여부,정기,서울특별시 종로구 봉익동 14번지 
종로염색,20171018,폐수배출시설 및 방지시설 정상가동 여부,정기,서울특별시 종로구 효제동 197-1번지 
아트섬유,20171018,폐수배출시설 및 방지시설 정상가동 여부,정기,서울특별시 종로구 종로5가 459번지 1층 
성신염색,20171018,폐수배출시설 및 방지시설 정상가동 여부,정기,서울특별시 종로구 종로5가 456-2번지 1층 
정원염색,20171018,폐수배출시설 및 방지시설 정상가동 여부,정기,서울특별시 종로구 종로6가 32-5번지 1층 
진영염색,20171012,폐수배출시설 및 방지시설 정상가동 여부,정기,서울특별시 종로구 종로6가 33-9번지 
태평양염색,20171012,폐수배출시설 및 방지시설 정상가동 여부,정기,서울특별시 종로구 종로5가 444-3번지 1층 
종로염색,20171012,폐수배출시설 및 방지시설 정상가동 여부,정기,서울특별시 종로구 효제동 197-1번지 
대신섬유,20171012,폐수배출시설 및 방지시설 정상가동 여부,정기,서울특별시 종로구 종로6가 32-1번지 
진영염색,20170925,폐수배출시설 및 방지시설 정상가동 여부,정기,서울특별시 종로구 종로6가 33-9번지 
정원염색,20170925,폐수배출시설 및 방지시설 정상가동 여부,정기,서울특별시 종로구 종로6가 32-5번지 1층 
종로염색,20170925,폐수배출시설 및 방지시설 정상가동 여부,정기,서울특별시 종로구 효제동 197-1번지 
한국섬유,20170913,폐수배출시설 및 방지시설 정상가동 여부,정기,서울특별시 종로구 종로5가 460-1번지 
진영염색,20170913,폐수배출시설 및 방지시설 정상가동 여부,정기,서울특별시 종로구 종로6가 33-9번지 
진영염색,20170913,폐수배출시설 및 방지시설 정상가동 여부,정기,서울특별시 종로구 종로6가 33-9번지 
반도염색,20170913,폐수배출시설 및 방지시설 정상가동 여부,정기,서울특별시 종로구 종로6가 97번지 
정원염색,20170913,폐수배출시설 및 방지시설 정상가동 여부,정기,서울특별시 종로구 종로6가 32-5번지 1층 
종로염색,20170907,폐수배출시설 및 방지시설 정상가동 여부,정기,서울특별시 종로구 효제동 197-1번지 
블레스,20170831,무허가 폐수배출시설 점검,수시,서울특별시 종로구 봉익동 7-1번지 
정원염색,20170802,폐수배출시설 및 방지시설 정상가동 여부,정기,서울특별시 종로구 종로6가 32-5번지 1층 
반도염색,20170801,폐수배출시설 및 방지시설 정상가동 여부,정기,서울특별시 종로구 종로6가 97번지 
아트섬유,20170801,폐수배출시설 및 방지시설 정상가동 여부,정기,서울특별시 종로구 종로5가 459번지 1층 
진영염색,20170725,폐수배출시설 및 방지시설 정상가동 여부,정기,서울특별시 종로구 종로6가 33-9번지 
정원염색,20170725,폐수배출시설 및 방지시설 정상가동 여부,정기,서울특별시 종로구 종로6가 32-5번지 1층 
태평양염색,20170725,폐수배출시설 및 방지시설 정상가동 여부,정기,서울특별시 종로구 종로5가 444-3번지 1층 
성신염색,20170725,폐수배출시설 및 방지시설 정상가동 여부,정기,서울특별시 종로구 종로5가 456-2번지 1층 
월드염색,20170713,폐수배출시설 및 방지시설 정상가동 여부,정기,서울특별시 종로구 종로6가 239-29번지 
종로염색,20170713,폐수배출시설 및 방지시설 정상가동 여부,정기,서울특별시 종로구 효제동 197-1번지 
원일문화사,20170628,발생폐수 적정보관 및 위탁여부,정기,서울특별시 종로구 창신동 329-8번지 
동남문화사,20170628,발생폐수 적정보관 및 위탁여부,정기,서울특별시 종로구 창신동 330-24번지 
비젼애드커뮤니케이션,20170628,발생폐수 적정보관 및 위탁여부,정기,서울특별시 종로구 창신동 330-30번지 1층 
백양염색,20170628,폐수배출시설 및 방지시설 정상가동 여부,정기,서울특별시 종로구 창신동 421-1번지 
민쥬얼리,20170627,발생폐수 적정보관 및 위탁여부,정기,서울특별시 종로구 연지동 123번지 
제일기획,20170627,발생폐수 적정보관 및 위탁여부,정기,서울특별시 종로구 묘동 33번지 
케이와이쥬얼리,20170627,발생폐수 적정보관 및 위탁여부,정기,서울특별시 종로구 연지동 125번지 
창신사,20170627,발생폐수 적정보관 및 위탁여부,정기,서울특별시 종로구 묘동 78번지 
와이에이치이골드,20170627,발생폐수 적정보관 및 위탁여부,정기,서울특별시 종로구 묘동 35-1번지 
팔구사,20170627,발생폐수 적정보관 및 위탁여부,정기,서울특별시 종로구 권농동 186번지 
Bevince(베빈스),20170627,발생폐수 적정보관 및 위탁여부,정기,서울특별시 종로구 돈의동 123번지 
